,app,sav_max,sav_mean,sav_32,sav_min,raw_max,raw_mean,raw_32,raw_min,run_max,run_mean,run_32,run_min
0,x264,0.762068384134034,-1.1319744780126475,-1.791000765407815,-1.8595391697359607,14.558713630478767,-1.0979719842939701,-2.927845964666715,-2.9665268262211337,4.787545135957721,-63.48112668122363,-23.806067487342766,-23.495657619313338
1,HPL,0.48363561757344564,0.026201200329179726,0.11683534824194956,-0.10566342089972403,1.9691371666488267,0.12878854915912225,0.2267418857598124,-0.20950764062056498,13.713056800331909,209.66840600507965,119.09087605676946,-128.8873748657424
2,Dedup,0.37364015274916873,-0.19376002470682008,-0.08400903294245135,-0.5951981861720166,1.71681944699979,-0.2550681861336078,-0.06119737963149916,-1.0188188537871214,27.24903620654626,-183.40850727222875,-764.4391892773267,-45.91755943414733
3,Canneal,0.04115786004519288,-0.018455705585803013,0.006979493250151281,-0.1252557701620216,0.5784739932513527,-0.21632833563251092,0.09248028250842992,-1.4106613563744255,283.94842363920895,-759.2938669811255,1776.1275597858103,-116.43955351705407
4,Blackscholes,0.9027381889714043,0.31883865089472596,-0.06633043411368875,-0.06633043411368875,165.8286612657527,22.37157939112987,-1.153127532371593,-1.153127532371593,3.793837186495026,28.12170435969054,-545.5831415305805,-545.5831415305805
5,Swaptions,0.9150768147809354,0.37696846718789134,-0.45483198546913817,-0.45483198546913817,48.77931892043513,6.928855665743116,-1.352232509271428,-1.352232509271428,3.7738020659300733,26.567661876220818,-136.13301947294752,-136.13301947294752
6,Blackscholes,0.9224958570069678,0.39573114756367855,0.04368224750935939,0.04094792869999854,130.34204075529985,18.52852932762541,0.7668247354633706,0.7627397701272101,2.272657733771559,15.987391212773792,386.2979808275236,388.36685663931723
7,Bodytrack,0.6076427889613931,-0.4460922562445764,-0.7800281111088934,-0.9359802715518957,20.249483846220816,-0.8205419296439453,-4.6125547778541245,-4.860416071398504,7.139332688372739,-176.18575812296606,-31.342240668902484,-29.743914887599946
8,Openmc,0.8030636347350903,-0.04146528484435687,-0.6379935038627664,-0.6379935038627664,15.174170408976684,1.3246810701488299,-1.3270552754584748,-1.3270552754584748,7.869317097530395,90.14272290218813,-89.98145054579265,-89.98145054579265
9,Bodytrack,0.6449104521303796,-0.0033907391633179935,-0.27148640182935246,-0.348186024158944,27.05780541068172,2.691045323272076,-2.7363437950030645,-3.2854953286294633,11.475724857981996,115.38561891490161,-113.4754816704062,-94.50871150175327
10,Raytrace,0.6659908186239917,0.1374390612449185,-0.0020379198825713875,-0.0359607016053934,179.42146475322335,22.102126826352453,-0.5915270621625666,-2.1713654502282096,5.19257380679121,42.15246820242108,-1575.006889537129,-429.066050652958
11,Vips,0.8698474356427358,0.14925768623255442,-0.19754169867637925,-0.2292526485773884,12.38030386234584,1.3776549059893628,-0.27932920083979285,-0.31499742725299706,4.126622503918058,37.0839172434192,-182.89831628810484,-162.18811997682405
12,Freqmine,0.7277885907560072,-0.0683020456957824,-0.33177179061950063,-0.39313499036458577,12.45674812189867,1.140968631961171,-0.446671739316832,-0.47020036486302014,2.303937422829224,25.15368728013961,-64.25203485829422,-61.03689046085879
13,Raytrace,0.6086164694504895,0.12138289377048812,-0.001202292573048644,-0.08437363745385518,173.7868441199213,21.298843076125216,-0.3588305615649787,-3.554924156368557,5.252240918099901,42.85539690826039,-2543.7364357517554,-256.762263712123
14,Ferret,0.8893136898086695,0.1961250531633957,-0.17552595809936433,-0.19847598385374887,16.813793195242347,1.9340268496656479,-0.2783341478827131,-0.3134207719189035,3.726337268209568,32.39555035868892,-225.1030449551653,-199.90335618090896
15,Swaptions,0.9428960134202807,0.4999376461058561,0.05373337631382823,0.05373337631382823,180.5606258696584,27.613322673637754,0.7763557811372379,0.7763557811372379,2.5285615850937333,16.533999466510178,588.0791686586194,588.0791686586194
16,Raytrace,0.7861958437921921,0.032004358680768605,-0.24861055374783794,-0.2660637469016323,253.79617837994937,21.599726564625986,-13.559957584762282,-14.333848539252596,5.574098250632936,65.49549734772286,-104.32811644740856,-98.69539433536987
17,x264,0.9082547300755991,0.2732042631516953,0.10864035115720858,-0.022038193919325638,17.389845479512097,1.9081371550154764,0.19297128407362116,-0.055106951632072444,2.7274031767665083,24.85624247692788,245.78330414283377,-860.6739875753912
